subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq
4	100	37	10	30	0	0
4	10	25	10	30	1	0
4	1	31	10	30	1	0
4	100	25	10	30	0	0
4	5	19	10	30	1	0
4	50	31	10	30	0	0
4	10	43	10	30	1	0
4	20	37	10	30	1	0
4	50	43	10	30	0	0
4	1	25	10	30	1	0
4	100	19	10	30	0	0
4	5	37	10	30	1	0
4	10	31	10	30	1	0
4	20	19	10	30	1	0
5	5	31	10	30	0	0
5	10	37	10	30	0	0
5	100	37	10	30	0	0
5	20	31	10	30	0	0
5	1	25	10	30	1	0
5	50	25	10	30	0	0
5	100	25	10	30	0	0
5	5	37	10	30	1	0
5	10	31	10	30	0	0
5	20	43	10	30	0	0
5	50	43	10	30	0	0
5	1	19	10	30	1	0
5	100	19	10	30	0	0
5	20	37	10	30	0	0
5	50	19	10	30	0	0
5	1	31	10	30	1	0
5	5	43	10	30	1	0
5	10	19	10	30	0	0
5	1	43	10	30	1	0
5	50	37	10	30	0	0
5	5	25	10	30	0	0
5	20	19	10	30	0	0
5	100	31	10	30	0	0
5	10	43	10	30	0	0
5	5	19	10	30	0	0
5	1	37	10	30	1	0
5	50	31	10	30	0	0
5	20	25	10	30	0	0
5	10	25	10	30	0	0
5	100	43	10	30	0	0
5	20	31	10	30	0	0
5	10	37	10	30	0	0
5	100	43	10	30	0	0
5	50	31	10	30	0	0
5	1	43	10	30	1	0
5	5	31	10	30	0	0
5	10	19	10	30	0	0
5	5	25	10	30	0	0
5	100	19	10	30	0	0
5	50	25	10	30	0	0
5	20	43	10	30	0	0
5	1	25	10	30	1	0
5	100	31	10	30	0	0
5	10	43	10	30	0	0
5	1	37	10	30	1	0
5	50	43	10	30	0	0
5	20	37	10	30	0	0
5	5	37	10	30	1	0
5	100	25	10	30	0	0
5	20	19	10	30	0	0
5	1	19	10	30	1	0
5	5	43	10	30	1	0
5	50	37	10	30	0	0
5	10	25	10	30	0	0
5	20	25	10	30	0	0
5	5	19	10	30	0	0
5	50	19	10	30	0	0
5	10	31	10	30	0	0
5	1	31	10	30	1	0
5	100	37	10	30	0	0
5	20	31	20	20	0	1
5	5	31	20	20	1	1
5	10	43	20	20	0	1
5	1	31	20	20	1	1
5	50	43	20	20	0	1
5	100	37	20	20	0	1
5	20	37	20	20	0	1
5	100	19	20	20	1	1
5	10	25	20	20	0	1
5	5	43	20	20	0	1
5	50	37	20	20	0	1
5	1	43	20	20	1	1
5	5	19	20	20	1	1
5	50	31	20	20	0	1
5	10	19	20	20	1	1
5	20	19	20	20	1	1
5	1	19	20	20	1	1
5	100	25	20	20	0	1
5	10	37	20	20	0	1
5	5	25	20	20	1	1
5	50	25	20	20	0	1
5	1	25	20	20	1	1
5	20	25	20	20	0	1
5	100	31	20	20	0	1
5	50	19	20	20	1	1
5	100	43	20	20	0	1
5	20	43	20	20	0	1
5	1	37	20	20	1	1
5	10	31	20	20	0	1
5	5	37	20	20	0	1
5	1	37	20	20	1	1
5	5	43	20	20	0	1
5	10	37	20	20	0	1
5	50	37	20	20	0	1
5	100	31	20	20	0	1
5	20	43	20	20	0	1
5	1	43	20	20	1	1
5	100	37	20	20	0	1
5	50	19	20	20	1	1
5	20	37	20	20	0	1
5	10	19	20	20	1	1
5	5	19	20	20	1	1
5	10	25	20	20	1	1
5	20	19	20	20	1	1
5	100	25	20	20	0	1
5	1	25	20	20	1	1
5	50	43	20	20	0	1
5	5	31	20	20	1	1
5	1	31	20	20	1	1
5	5	25	20	20	1	1
5	10	31	20	20	0	1
