subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq	SD_like	SD_likeRaw
6	100	25	10	30	0	0	0.56	38
6	1	31	10	30	0	0	1	1
6	5	19	10	30	1	0	1	1
6	50	31	10	30	0	0	0.67	29
6	5	43	10	30	0	0	1	1
6	20	19	10	30	1	0	0.89	9
6	100	19	10	30	0	0	0.56	38
6	10	31	10	30	0	0	0.97	2
6	50	19	10	30	0	0	0.67	29
6	1	19	10	30	1	0	1	1
6	20	25	10	30	0	0	0.89	9
6	100	43	10	30	0	0	0.56	38
6	50	25	10	30	0	0	0.67	29
6	10	19	10	30	1	0	0.97	2
6	5	25	10	30	0	0	1	1
6	1	25	10	30	0	0	1	1
6	10	37	10	30	0	0	0.97	2
6	1	43	10	30	0	0	1	1
6	100	37	10	30	0	0	0.56	38
6	50	37	10	30	0	0	0.67	29
6	5	37	10	30	0	0	1	1
6	20	43	10	30	0	0	0.89	9
6	100	31	10	30	0	0	0.56	38
6	1	19	10	30	1	0	1	1
6	10	31	10	30	0	0	0.97	2
6	5	19	10	30	1	0	1	1
6	50	37	10	30	0	0	0.67	29
6	20	25	10	30	1	0	0.89	9
6	10	43	10	30	0	0	0.97	2
6	5	31	10	30	0	0	1	1
6	100	43	10	30	0	0	0.56	38
6	1	31	10	30	0	0	1	1
6	50	43	10	30	0	0	0.67	29
6	20	31	10	30	0	0	0.89	9
6	20	37	10	30	0	0	0.89	9
6	10	37	10	30	0	0	0.97	2
6	1	25	10	30	1	0	1	1
6	100	37	10	30	0	0	0.56	38
6	50	31	10	30	0	0	0.67	29
